"Date","Price","Open","High","Low","Change %"
"Dec 23, 2019","0.6918","0.6906","0.6928","0.6896","0.17%"
"Dec 22, 2019","0.6906","0.6899","0.6906","0.6891","0.10%"
"Dec 20, 2019","0.6899","0.6885","0.6908","0.6881","0.19%"
"Dec 19, 2019","0.6886","0.6855","0.6891","0.6848","0.48%"
"Dec 18, 2019","0.6853","0.6851","0.6865","0.6837","0.01%"
"Dec 17, 2019","0.6852","0.6886","0.6887","0.6837","-0.48%"
"Dec 16, 2019","0.6885","0.6889","0.6899","0.6866","0.13%"
"Dec 13, 2019","0.6876","0.6908","0.6939","0.6862","-0.48%"
"Dec 12, 2019","0.6909","0.6875","0.6914","0.6865","0.48%"
"Dec 11, 2019","0.6876","0.6811","0.6892","0.6804","0.97%"
"Dec 10, 2019","0.6810","0.6822","0.6837","0.6797","-0.19%"
"Dec 09, 2019","0.6823","0.6825","0.6838","0.6817","-0.23%"
"Dec 06, 2019","0.6839","0.6832","0.6858","0.6821","0.07%"
"Dec 05, 2019","0.6834","0.6849","0.6856","0.6819","-0.23%"
"Dec 04, 2019","0.6850","0.6847","0.6856","0.6811","0.04%"
"Dec 03, 2019","0.6847","0.6818","0.6863","0.6813","0.41%"
"Dec 02, 2019","0.6819","0.6758","0.6827","0.6756","0.80%"
"Nov 29, 2019","0.6765","0.6771","0.6781","0.6752","-0.07%"
"Nov 28, 2019","0.6770","0.6776","0.6780","0.6760","-0.10%"
"Nov 27, 2019","0.6777","0.6789","0.6793","0.6771","-0.16%"
"Nov 26, 2019","0.6788","0.6779","0.6796","0.6768","0.12%"
"Nov 25, 2019","0.6780","0.6787","0.6802","0.6767","-0.09%"
"Nov 22, 2019","0.6786","0.6785","0.6804","0.6778","0.00%"
"Nov 21, 2019","0.6786","0.6804","0.6816","0.6783","-0.25%"
"Nov 20, 2019","0.6803","0.6826","0.6832","0.6788","-0.35%"
"Nov 19, 2019","0.6827","0.6815","0.6836","0.6784","0.23%"
"Nov 18, 2019","0.6811","0.6804","0.6825","0.6798","-0.13%"
"Nov 15, 2019","0.6820","0.6785","0.6825","0.6778","0.49%"
"Nov 14, 2019","0.6787","0.6838","0.6842","0.6768","-0.75%"
"Nov 13, 2019","0.6838","0.6841","0.6859","0.6819","-0.06%"
"Nov 12, 2019","0.6842","0.6852","0.6859","0.6831","-0.12%"
"Nov 11, 2019","0.6850","0.6870","0.6870","0.6845","-0.16%"
"Nov 08, 2019","0.6861","0.6899","0.6908","0.6847","-0.54%"
